Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta[1]	net_diversification[1]	net_diversification[2]	net_diversification[3]	net_diversification[4]	q[1][2]	q[1][3]	q[2][1]	q[2][4]	q[3][1]	q[3][4]	q[4][2]	q[4][3]	q_0A0B	q_0A1A	q_0B0A	q_0B1B	q_1A0A	q_1A1B	q_1B0B	q_1B1A	root_frequencies[1]	root_frequencies[2]	root_frequencies[3]	root_frequencies[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta[1]
110	-887.7341	-915.5677	27.83356	0.008346766	0.07381034	0.004895968	0.04329499	-4.785881	-2.606256	-0.5334621	0.191628	0.146472	0.550862	0.5689	0.01805922	0.0001732955	0.0002262724	0.003509275	0.004339223	0.006738008	0.0003789584	0.001415301	0.0001732955	0.01805922	0.004339223	0.006738008	0.0002262724	0.003509275	0.001415301	0.0003789584	0.388916	0.203463	0.249684	0.157938	0.1999751	0.2202826	0.555758	0.6121954	-1.609563	-1.512844	1.02214
120	-895.6213	-917.8734	22.25214	0.06541612	0.06188959	0.003734277	0.003532965	-2.726987	-2.782403	-2.863215	0.106219	0.216572	0.293285	0.478353	0.01895653	0.003358157	0.003154468	0.004984564	0.001078385	0.005327201	0.009530534	0.001581251	0.003358157	0.01895653	0.001078385	0.005327201	0.003154468	0.004984564	0.001581251	0.009530534	0.388916	0.203463	0.249684	0.157938	0.1716352	0.2784614	0.2970198	0.4818856	-1.762384	-1.278476	0.5484276
130	-889.7407	-912.6818	22.9411	0.04890453	0.09368453	0.01690194	0.03237839	-3.017885	-2.367822	-1.062442	0.159144	0.115952	0.626104	0.615534	0.02510609	0.00162055	0.0003266803	0.01905979	0.004721161	0.03315928	0.000977703	0.0005591681	0.00162055	0.02510609	0.004721161	0.03315928	0.0003266803	0.01905979	0.0005591681	0.000977703	0.388916	0.203463	0.249684	0.157938	0.2080484	0.2096361	0.6430057	0.6479128	-1.569984	-1.562382	1.128383
140	-883.2032	-913.1329	29.9297	0.1127646	0.01611568	0.02338989	0.003342751	-2.182453	-4.127963	-1.572998	0.141606	0.245639	0.73994	0.782144	0.02314408	6.705137e-07	3.69022e-06	0.02565224	0.001047015	0.0002415338	0.009287543	0.00217193	6.705137e-07	0.02314408	0.001047015	0.0002415338	3.69022e-06	0.02565224	0.00217193	0.009287543	0.249684	0.203463	0.388916	0.157938	0.2543709	0.2617546	0.7633299	0.7854871	-1.368962	-1.340348	1.098897
150	-886.106	-915.3622	29.25628	0.07469823	0.02126817	0.3046569	0.08674228	-2.594299	-3.850544	1.40573	0.202756	0.192295	0.826209	0.783714	0.01257798	4.860049e-05	0.00039395	0.005544317	0.0006293228	0.006287194	0.0003804324	0.004999962	4.860049e-05	0.01257798	0.0006293228	0.006287194	0.00039395	0.005544317	0.004999962	0.0003804324	0.249684	0.203463	0.388916	0.157938	0.2774541	0.2135633	1.130866	0.8704559	-1.2821	-1.543822	1.405084
160	-890.4161	-915.8376	25.42145	0.09038071	0.04655893	0.05916502	0.03047841	-2.403724	-3.067037	-0.4237003	0.175231	0.184186	0.627091	0.565693	0.033125	0.001133953	0.004254725	0.004444197	0.002040437	0.001746929	0.0005825909	0.01330501	0.001133953	0.033125	0.002040437	0.001746929	0.004254725	0.004444197	0.01330501	0.0005825909	0.249684	0.203463	0.388916	0.157938	0.2656116	0.2307447	0.6862559	0.596171	-1.32572	-1.466443	0.9492157
170	-887.8646	-915.3358	27.47124	0.1061802	0.06201933	0.08182889	0.04779587	-2.242618	-2.780309	-0.2605069	0.119352	0.273257	0.494486	0.808953	0.01945232	0.0009707402	0.0005730845	0.009741397	0.001147223	0.01206008	0.0005685663	0.003579107	0.0009707402	0.01945232	0.001147223	0.01206008	0.0005730845	0.009741397	0.003579107	0.0005685663	0.249684	0.203463	0.388916	0.157938	0.2255325	0.3352765	0.5763148	0.8567491	-1.489291	-1.0928	0.9381896
180	-885.4679	-912.5131	27.04526	0.05211137	0.07055546	0.09816475	0.1329088	-2.954372	-2.651356	0.633264	0.178444	0.177017	0.566417	0.580724	0.01679093	0.000648656	0.0001876868	0.01026963	0.0195961	0.002700665	0.001059108	0.001734777	0.000648656	0.01679093	0.0195961	0.002700665	0.0001876868	0.01026963	0.001734777	0.001059108	0.249684	0.203463	0.388916	0.157938	0.2305557	0.2475721	0.6645821	0.7136323	-1.467263	-1.396054	1.058666
190	-887.1795	-913.3573	26.17778	0.05659267	0.1617003	0.1406921	0.4019945	-2.871876	-1.822011	0.9106939	0.20209	0.156855	0.773714	0.724053	0.02329813	0.0006975467	0.001914903	0.007828126	0.002324565	0.001285839	0.00559402	0.002391082	0.0006975467	0.02329813	0.002324565	0.001285839	0.001914903	0.007828126	0.002391082	0.00559402	0.249684	0.203463	0.388916	0.157938	0.2586825	0.3185551	0.9144063	1.126047	-1.352154	-1.14396	1.262674
200	-889.162	-913.7476	24.58559	0.06400796	0.07669506	0.0724813	0.08684791	-2.748748	-2.567918	0.1243211	0.172122	0.21405	0.469059	0.579949	0.01517362	5.340561e-05	0.0004148698	0.02584897	0.01294498	0.01546699	0.004523181	0.001686231	5.340561e-05	0.01517362	0.01294498	0.01546699	0.0004148698	0.02584897	0.001686231	0.004523181	0.250329	0.193756	0.306309	0.249605	0.2361295	0.2907455	0.5415407	0.6667973	-1.443375	-1.235307	0.8300379
210	-884.9693	-911.1279	26.15861	0.04272684	0.08377542	0.05359694	0.1050887	-3.152928	-2.479616	0.2266648	0.176355	0.200132	0.501937	0.614827	0.02808774	0.003616019	0.0003860186	0.01621565	0.0001860173	0.008269182	0.007531855	0.0002946197	0.003616019	0.02808774	0.0001860173	0.008269182	0.0003860186	0.01621565	0.0002946197	0.007531855	0.250329	0.193756	0.306309	0.249605	0.2190821	0.2839079	0.5555343	0.7199152	-1.518309	-1.259105	0.9304836
220	-890.5271	-915.8279	25.30089	0.03252381	0.1249014	0.04460749	0.1713064	-3.425783	-2.080231	0.3159293	0.167551	0.138198	0.405424	0.420488	0.02464596	0.006040437	0.004129297	0.005919388	0.01526802	0.0005426515	0.0005917115	0.001598156	0.006040437	0.02464596	0.01526802	0.0005426515	0.004129297	0.005919388	0.001598156	0.0005917115	0.218178	0.168871	0.266969	0.345982	0.2000746	0.2630994	0.4500318	0.5917947	-1.609065	-1.335224	0.810628
230	-886.9369	-914.5436	27.60667	0.07503974	0.05452917	0.01912742	0.01389933	-2.589737	-2.90902	-1.366895	0.176154	0.138461	0.606118	0.466472	0.03358815	4.749578e-05	0.0002005516	0.017517	0.002953971	0.0003451577	0.005854022	0.001794869	4.749578e-05	0.03358815	0.002953971	0.0003451577	0.0002005516	0.017517	0.001794869	0.005854022	0.218178	0.168871	0.266969	0.345982	0.2511938	0.1929902	0.6252453	0.4803711	-1.38153	-1.645116	0.9119192
240	-879.4989	-912.6773	33.1784	0.02214343	0.08095988	0.006868807	0.02511344	-3.810214	-2.513802	-1.17055	0.183058	0.194338	0.618712	0.814165	0.02875861	6.276618e-07	0.0006504094	0.003413114	3.026868e-05	0.0006033323	0.002304665	0.00304066	6.276618e-07	0.02875861	3.026868e-05	0.0006033323	0.0006504094	0.003413114	0.00304066	0.002304665	0.218178	0.168871	0.266969	0.345982	0.2052017	0.2752982	0.6255812	0.8392786	-1.583762	-1.2899	1.114688
250	-889.1928	-912.8811	23.68833	0.03728548	0.07966751	0.02647336	0.05656537	-3.289151	-2.529893	-0.3424649	0.156775	0.203502	0.439229	0.622979	0.03151859	0.003842763	0.002624519	0.01037636	0.0005591101	0.00169969	0.004626843	0.01204319	0.003842763	0.03151859	0.0005591101	0.00169969	0.002624519	0.01037636	0.01204319	0.004626843	0.218178	0.168871	0.266969	0.345982	0.1940606	0.2831697	0.465702	0.679544	-1.639585	-1.261709	0.8753757
260	-883.6067	-910.9796	27.37293	0.02126689	0.05853568	0.01081161	0.02975822	-3.850604	-2.838119	-0.6765313	0.185294	0.167039	0.715826	0.763766	0.03133667	0.0008746956	0.0007202849	0.01329568	0.000265584	0.002122958	0.01226957	1.265477e-05	0.0008746956	0.03133667	0.000265584	0.002122958	0.0007202849	0.01329568	1.265477e-05	0.01226957	0.218178	0.168871	0.266969	0.345982	0.2065608	0.2255745	0.7266376	0.793524	-1.577161	-1.489105	1.257833
270	-896.492	-918.3195	21.82751	0.03352559	0.06249693	0.02082764	0.03882597	-3.395446	-2.772638	-0.4760282	0.142701	0.125523	0.576582	0.598564	0.01405957	0.01095488	0.0004725494	0.01944467	0.01081948	0.01338861	0.006254003	0.000745907	0.01095488	0.01405957	0.01081948	0.01338861	0.0004725494	0.01944467	0.000745907	0.006254003	0.218178	0.168871	0.266969	0.345982	0.1762263	0.1880198	0.5974094	0.6373896	-1.735987	-1.671208	1.220834
280	-886.597	-918.175	31.57797	0.2126141	0.1051083	0.1407261	0.06956964	-1.548277	-2.252764	-0.412663	0.0967539	0.220927	0.539594	0.647402	0.0176025	0.0009567175	0.005923749	0.001843296	0.003313197	0.00565185	1.731567e-05	6.762906e-05	0.0009567175	0.0176025	0.003313197	0.00565185	0.005923749	0.001843296	6.762906e-05	1.731567e-05	0.218178	0.168871	0.266969	0.345982	0.309368	0.3260353	0.6803197	0.7169721	-1.173224	-1.12075	0.7880313
290	-881.2005	-913.4591	32.25861	0.08203691	0.05866236	0.1739959	0.1244197	-2.500586	-2.835957	0.7518623	0.15928	0.121681	0.72191	0.545116	0.0289671	0.001659903	0.0008959131	0.01216659	7.956423e-07	0.001014095	0.002397134	0.0001344828	0.001659903	0.0289671	7.956423e-07	0.001014095	0.0008959131	0.01216659	0.0001344828	0.002397134	0.218178	0.168871	0.266969	0.345982	0.2413174	0.1803432	0.8959064	0.6695358	-1.421642	-1.712894	1.311723
300	-888.1321	-914.0351	25.90295	0.1588646	0.08139218	0.1802888	0.0923686	-1.839703	-2.508476	0.126508	0.13471	0.153407	0.647031	0.569316	0.0191632	6.84495e-06	0.005176909	0.01531422	0.001158939	0.007098781	0.0100904	0.006252977	6.84495e-06	0.0191632	0.001158939	0.007098781	0.005176909	0.01531422	0.006252977	0.0100904	0.168871	0.218178	0.266969	0.345982	0.2935742	0.2347987	0.82732	0.6616851	-1.225625	-1.449027	1.036061
