Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta[1]	net_diversification[1]	net_diversification[2]	net_diversification[3]	net_diversification[4]	q[1][2]	q[1][3]	q[2][1]	q[2][4]	q[3][1]	q[3][4]	q[4][2]	q[4][3]	q_0A0B	q_0A1A	q_0B0A	q_0B1B	q_1A0A	q_1A1B	q_1B0B	q_1B1A	root_frequencies[1]	root_frequencies[2]	root_frequencies[3]	root_frequencies[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta[1]
0	-1105.332	-1135.126	29.79385	0.1898801	0.556846	0.129173	0.3788152	-1.661362	-0.5854665	-0.3852402	-0.155398	-0.27903	-0.0978943	-0.12681	0.0144523	0.009741579	0.002365511	0.007024136	0.0002407746	0.0007899854	0.0040762	7.653465e-06	0.009741579	0.0144523	0.0002407746	0.0007899854	0.002365511	0.007024136	7.653465e-06	0.0040762	0.00394834	0.0555989	0.606214	0.334238	0.03448233	0.2778161	0.0312787	0.2520052	-3.367308	-1.280796	-0.09750971
10	-896.1506	-922.6894	26.53887	0.08384989	0.119545	0.08835425	0.1259669	-2.478727	-2.124062	0.05232617	0.101308	0.285664	0.218692	0.545988	0.03637773	0.005328953	0.001441238	0.0002136047	0.003774622	0.000827191	0.004246942	0.007309452	0.005328953	0.03637773	0.003774622	0.000827191	0.001441238	0.0002136047	0.007309452	0.004246942	0.00394834	0.334238	0.606214	0.0555989	0.1851577	0.4052086	0.3070458	0.6719549	-1.686548	-0.9033533	0.5057894
20	-889.6131	-914.3223	24.70922	0.06121342	0.03125403	0.0130114	0.006643293	-2.793389	-3.465607	-1.548541	0.180554	0.182012	0.605519	0.538969	0.03249892	0.0002107737	0.004027518	0.01776387	0.0008961442	0.0001268819	0.00701512	0.003833358	0.0002107737	0.03249892	0.0008961442	0.0001268819	0.004027518	0.01776387	0.003833358	0.00701512	0.0555989	0.334238	0.00394834	0.606214	0.2417677	0.2132661	0.6185299	0.5456124	-1.419778	-1.545215	0.9393682
30	-877.3322	-913.8493	36.51708	0.03895067	0.0798588	0.07677465	0.1574076	-3.245459	-2.527495	0.6785784	0.209101	0.138498	0.740163	0.561733	0.03376663	0.007020446	0.0001160842	0.007329836	0.0006373677	2.28203e-08	0.0001148512	3.452606e-05	0.007020446	0.03376663	0.0006373677	2.28203e-08	0.0001160842	0.007329836	3.452606e-05	0.0001148512	0.334238	0.606214	0.00394834	0.0555989	0.2480515	0.2183567	0.816938	0.7191407	-1.394119	-1.521625	1.191927
40	-887.7612	-913.6956	25.93447	0.04536092	0.04153211	0.009419856	0.008624749	-3.093104	-3.181288	-1.571831	0.227444	0.134973	1.18638	0.765056	0.0286187	3.220485e-05	0.002794051	0.01682086	0.01758862	1.310066e-05	0.002839096	0.000836883	3.220485e-05	0.0286187	0.01758862	1.310066e-05	0.002794051	0.01682086	0.000836883	0.002839096	0.606214	0.334238	0.0555989	0.00394834	0.2728048	0.1765051	1.195795	0.773681	-1.298999	-1.734406	1.47781
50	-890.6585	-914.457	23.79852	0.1101023	0.05599119	0.1947384	0.09903185	-2.206345	-2.882561	0.5702472	0.165664	0.213457	0.644279	0.720762	0.01701076	0.0004953091	0.01213353	0.003109394	0.008658525	0.003184998	0.01173741	0.003418835	0.0004953091	0.01701076	0.008658525	0.003184998	0.01213353	0.003109394	0.003418835	0.01173741	0.606214	0.334238	0.0555989	0.00394834	0.2757665	0.2694481	0.8390173	0.8197938	-1.288201	-1.311379	1.112677
60	-891.9872	-912.9553	20.96803	0.03781799	0.07811562	0.05447331	0.1125183	-3.27497	-2.549565	0.3649259	0.186171	0.202209	0.611941	0.721505	0.04929561	0.0006014433	0.008387422	0.0123886	0.009222364	0.00108817	0.00925218	0.00135816	0.0006014433	0.04929561	0.009222364	0.00108817	0.008387422	0.0123886	0.00135816	0.00925218	0.606214	0.334238	0.0555989	0.00394834	0.2239893	0.2803249	0.6664139	0.8340237	-1.496157	-1.271806	1.090312
70	-887.2447	-913.3002	26.05548	0.1257154	0.0993411	0.1568315	0.1239293	-2.073735	-2.309196	0.2211519	0.119401	0.208009	0.388722	0.560138	0.01863304	0.003682528	0.002958602	0.01504943	0.01028104	0.001336799	0.0006409539	0.001291884	0.003682528	0.01863304	0.01028104	0.001336799	0.002958602	0.01504943	0.001291884	0.0006409539	0.606214	0.0555989	0.00394834	0.334238	0.2451164	0.3073504	0.5455538	0.6840674	-1.406022	-1.179767	0.8000681
80	-883.2735	-914.5565	31.28296	0.02452586	0.1781638	0.02114016	0.153569	-3.708027	-1.725052	-0.1485533	0.190132	0.251433	0.551193	0.991846	0.02642319	0.004289355	0.0003889792	0.00180433	0.0004507317	0.002077102	3.567482e-06	0.002080737	0.004289355	0.02642319	0.0004507317	0.002077102	0.0003889792	0.00180433	0.002080737	3.567482e-06	0.606214	0.334238	0.00394834	0.0555989	0.2146581	0.4295968	0.5723336	1.145415	-1.538709	-0.8449083	0.9806755
90	-887.2398	-917.0378	29.79797	0.05212673	0.1361627	0.1688478	0.4410553	-2.954077	-1.993905	1.17532	0.18723	0.176582	1.18756	1.33124	0.01922237	0.0005568419	4.686491e-05	0.002314085	0.007528795	0.0005017073	0.001650155	0.001235649	0.0005568419	0.01922237	0.007528795	0.0005017073	4.686491e-05	0.002314085	0.001235649	0.001650155	0.606214	0.334238	0.0555989	0.00394834	0.2393563	0.312745	1.356411	1.772299	-1.429802	-1.162367	1.734645
